Shapeshifter's Crown,951174480
Summoning Skull,551296267
Desire's Skull,306847357
Vice Mask,41049810
Primal Elixir,359461597
Amulet of Loyalty,564372943
Scroll of Evil,337972924
Pillar of Courage,236077869
Hand of Fortune,904430482
Statue of Immortality,481058704
Paralyzing Key,397997196
Necrotic Rod,486751472
Oblivion Canopic Jar,426811588
Dread Arch,294668218
Fate's Inscriptions,680104464
Pillar of Heroism,14495275
Circlet of Blights,172536360
Skull of Transformation,722853088
Elixir of Enthrallment,824656669
Horn of Chaos,255509124
Thunder Inscriptions,704971278
Malady Runes,900403798
Massacre Tablet,564881364
Corruption Cloak,332904560
Corruption Scroll,36534128
Box of Malediction,87333500
Cloak of Misfortune,492790549
Lamp of Wisdom,915076293
Grail of Metamorphosis,999128231
Slab of Evils,371827594
